ra,dec,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err
87.47254,29.243992,6692.72,183.24,4.318,0.292,-0.063,0.193,-12.16,17.18
87.796776,29.4285,6851.09,195.48,4.102,0.354,0.051,0.178,-13.43,19.75
87.542114,29.308464,6490.13,182.17,4.161,0.406,0.065,0.157,5.06,17.04
87.6999,29.413204,4175.0,37.9,1.835,0.368,-0.024,0.076,-30.46,8.4
87.732445,29.248545,6498.27,266.08,4.341,0.402,0.035,0.231,-8.93,17.54
88.28729,29.354036,5887.82,223.72,3.684,0.679,-0.194,0.23,-25.13,21.33
88.69679,29.503853,5533.61,221.47,4.321,0.439,-0.173,0.292,26.36,12.7
88.56069,29.4581,5076.63,190.66,2.957,0.673,-0.329,0.258,16.64,14.44
88.558464,29.392546,5016.89,123.06,2.545,0.645,-0.287,0.187,12.97,14.76
87.88715,29.028116,7544.34,109.96,4.129,0.281,0.093,0.174,-15.87,23.21
88.020615,29.124031,7899.66,215.37,3.797,0.379,0.101,0.198,21.78,23.88
87.970894,28.924099,6166.46,211.38,4.102,0.524,0.106,0.184,-15.72,19.39
88.24743,29.00722,4955.23,82.5,4.808,0.273,0.09,0.111,-29.67,8.45
88.12356,28.95902,4314.93,63.45,1.815,0.429,-0.357,0.118,33.64,9.81
87.93605,28.842943,5931.7,190.0,4.279,0.529,0.107,0.178,-2.02,16.31
88.1811,28.91159,4854.01,132.27,2.049,0.594,-0.501,0.228,-13.62,15.34
88.32644,28.778885,5989.14,200.99,4.28,0.535,0.071,0.188,-1.08,18.02
88.076866,28.865946,4785.69,107.89,2.751,0.538,-0.225,0.155,25.64,13.47
88.28314,28.744324,4858.61,129.25,2.36,0.618,-0.364,0.2,-6.02,15.64
88.43179,28.709854,5203.03,144.12,4.455,0.442,-0.261,0.194,-77.77,13.23
88.102486,29.40875,5272.73,167.74,2.426,0.761,-0.427,0.259,-16.53,19.66
88.08269,29.233414,4154.05,35.54,1.966,0.382,-0.04,0.08,-26.77,9.85
87.728966,28.560492,7933.29,350.65,3.936,0.478,-0.288,0.472,29.52,45.64
87.66892,28.40921,6961.24,307.83,4.121,0.436,-0.163,0.358,1.4,44.51
87.53042,28.597973,4904.84,120.97,3.075,0.533,-0.114,0.164,33.02,13.51
88.66831,29.157173,5088.72,139.22,3.365,0.632,-0.373,0.188,9.46,19.01
88.60325,29.204077,4612.11,80.88,2.204,0.554,-0.492,0.129,-57.81,14.2
88.95766,29.500473,6574.87,206.12,4.162,0.395,-0.259,0.234,17.42,35.41
88.75696,29.513191,4681.45,81.76,2.229,0.478,-0.194,0.127,-0.17,11.69
89.01671,29.35687,7505.07,223.09,3.983,0.428,-0.178,0.263,-2.01,41.88
88.690025,29.320574,5241.94,131.92,4.502,0.395,-0.466,0.195,52.4,12.11
89.66969,29.184912,6581.13,188.47,4.298,0.392,0.456,0.14,15.85,16.56
89.122375,29.176882,5212.56,165.43,3.418,0.637,-0.128,0.207,-12.77,16.57
89.47422,29.209528,5001.64,105.89,2.751,0.566,-0.176,0.154,6.0,12.13
89.214836,28.479286,6089.06,146.11,4.371,0.463,-0.057,0.148,15.86,17.91
89.461296,28.565123,7550.67,188.06,3.942,0.412,-0.068,0.194,0.21,30.45
89.13724,28.528683,4723.44,97.85,2.299,0.467,-0.382,0.151,24.86,8.74
89.54172,28.386595,6234.76,189.66,3.814,0.532,-0.153,0.181,-18.78,20.09
89.24847,28.48538,6519.39,166.81,3.997,0.434,0.059,0.148,20.95,19.51
89.18549,28.628717,7411.56,178.63,3.925,0.443,-0.103,0.225,0.98,44.23
89.411156,28.560215,6222.36,163.75,4.214,0.453,-0.055,0.155,-4.57,16.78
89.56286,28.585155,5525.16,130.4,4.253,0.466,0.334,0.132,-2.68,12.28
89.45864,28.370016,4374.31,54.63,1.704,0.394,-0.369,0.099,-30.6,8.45
89.23425,28.577925,6565.73,231.13,4.188,0.417,0.129,0.2,29.81,20.16
89.31187,28.522831,4870.31,96.93,2.824,0.482,0.067,0.133,-11.46,11.57
89.439865,28.475506,5218.67,145.43,3.449,0.584,-0.106,0.182,12.07,13.51
89.57893,28.850304,4563.06,77.25,4.464,0.13,0.764,0.186,34.56,9.24
89.35967,28.617428,6255.54,159.94,3.862,0.5,-0.089,0.15,31.04,16.98
89.24764,28.755646,7183.06,151.94,3.751,0.396,0.248,0.145,22.0,21.69
89.40071,28.78265,5480.52,140.59,3.647,0.626,-0.188,0.168,16.5,14.71
89.42404,28.61764,4361.35,58.43,1.463,0.243,-0.337,0.095,36.0,8.26
89.494484,28.647415,7426.29,187.64,4.887,0.286,0.204,0.164,19.77,22.17
89.72107,28.627237,6704.12,199.76,4.095,0.39,0.015,0.18,-3.96,20.52
89.22203,28.704012,5336.03,179.57,3.626,0.647,-0.242,0.219,0.65,16.11
89.61453,28.714525,5000.94,127.64,2.205,0.612,-0.359,0.203,14.32,12.84
89.45134,28.740898,5444.51,284.64,3.972,0.624,-0.2,0.326,8.94,14.07
88.705765,28.557123,5511.94,129.57,3.553,0.62,-0.037,0.152,24.82,15.29
88.765686,28.503214,4690.96,76.53,4.385,0.291,-0.371,0.12,7.84,11.01
88.73872,28.367199,6375.8,171.58,4.052,0.432,-0.285,0.178,37.28,20.04
88.81505,28.511442,5883.1,171.21,4.294,0.511,-0.484,0.211,44.33,18.81
88.43236,29.009377,5973.1,178.8,4.096,0.544,-0.053,0.174,-24.58,15.59
88.7825,28.86347,4867.1,114.77,1.749,0.505,-0.555,0.204,-2.41,11.55
88.53607,28.9681,6507.67,196.74,4.515,0.377,-0.423,0.245,8.14,38.56
88.92606,28.898005,4877.55,82.53,3.317,0.381,0.301,0.101,-34.94,9.76
88.52614,28.894194,5646.5,338.56,4.243,0.562,0.01,0.341,11.33,15.57
88.62826,28.835098,4722.86,83.58,2.082,0.496,-0.238,0.136,-1.32,12.78
88.48943,28.843908,6671.24,158.86,4.242,0.385,-0.138,0.175,-18.45,33.07
88.430534,28.93968,5369.86,178.12,3.654,0.69,-0.221,0.219,40.63,20.19
88.56419,28.845745,4739.88,64.62,4.827,0.239,0.253,0.086,30.0,9.68
88.847984,28.883762,5164.72,198.27,3.558,0.614,-0.127,0.244,-17.14,16.35
88.663345,28.628689,6298.78,194.79,4.541,0.426,-0.023,0.197,12.37,25.7
88.72438,28.715458,5087.95,173.44,3.208,0.624,-0.222,0.224,1.07,16.19
88.85323,28.82368,7107.48,252.21,4.208,0.418,0.293,0.289,-19.68,49.98
88.96175,28.629786,6988.32,153.67,3.201,0.543,0.237,0.162,25.91,35.58
