ra,dec,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err
87.31364,29.735016,6779.84,228.29,4.128,0.374,-0.078,0.219,-28.13,23.25
87.2655,29.512957,5348.64,129.45,1.345,0.413,-0.716,0.254,14.48,14.24
87.33462,29.510687,6454.6,254.92,4.209,0.455,0.059,0.229,-32.33,23.88
87.57015,29.488964,6203.19,124.23,1.695,0.439,-0.203,0.183,-21.36,16.22
87.473404,29.421827,6616.61,192.57,3.809,0.378,0.086,0.18,-5.26,18.55
87.6021,29.53749,5920.24,232.63,3.788,0.669,-0.798,0.349,-92.64,20.21
86.871956,29.039265,6060.01,206.03,4.198,0.54,0.11,0.185,-20.36,18.92
86.93374,29.19806,4286.39,47.66,2.383,0.341,-0.009,0.082,-34.18,9.04
86.85475,29.495867,7692.42,288.67,3.444,0.584,-0.02,0.427,46.3,52.29
87.09265,29.698832,4657.11,63.62,2.764,0.311,0.27,0.086,10.1,8.22
88.64353,29.979687,6344.17,234.96,3.9,0.514,-0.084,0.213,-3.38,22.61
88.75619,29.955032,4975.07,93.07,4.714,0.257,-0.016,0.14,-17.55,9.17
89.317184,30.181171,4310.13,52.56,2.99,0.261,0.331,0.113,-48.05,8.74
88.04721,29.626696,4601.81,122.62,2.076,0.457,-0.513,0.182,-9.89,10.49
87.7868,29.733809,5937.71,196.13,4.269,0.501,-0.15,0.245,-26.77,19.52
88.01976,29.920692,5758.72,183.58,4.003,0.519,-0.171,0.227,-56.23,15.98
88.17741,29.639761,4874.13,169.82,2.368,0.552,-0.25,0.255,11.0,11.49
88.28107,29.951262,6383.37,382.79,4.84,0.395,0.054,0.366,16.5,22.52
88.32241,29.936775,7715.04,301.68,3.959,0.353,0.238,0.256,51.32,22.21
89.23334,29.813175,6016.47,196.96,4.515,0.39,-0.124,0.235,62.23,13.71
89.24537,29.920784,8302.11,398.41,4.214,0.355,0.153,0.336,41.67,17.01
88.917305,29.600077,7751.01,344.5,3.954,0.437,-0.158,0.419,8.42,26.79
88.9349,29.788183,4850.36,123.47,3.044,0.508,0.014,0.162,28.11,13.64
88.71887,29.83909,4827.64,115.12,2.495,0.491,-0.116,0.166,1.09,10.95
88.84495,29.715876,5909.44,168.57,4.185,0.461,0.051,0.187,35.02,13.57
88.884346,29.72373,4979.9,163.0,2.459,0.696,-0.342,0.251,39.12,17.02
88.8378,30.174643,5515.9,206.29,3.685,0.7,-0.017,0.262,-112.22,30.32
88.67561,29.610394,5417.94,139.96,4.578,0.38,-0.008,0.193,-45.23,12.95
88.62708,29.579973,5265.4,179.42,4.18,0.485,-0.235,0.254,-51.98,15.19
88.51667,29.633865,5025.53,134.17,2.01,0.593,-0.283,0.22,50.17,15.32
87.548805,30.095987,4873.69,160.38,2.964,0.596,-0.509,0.216,-43.59,13.63
87.46249,30.121857,5491.63,134.77,4.192,0.436,-0.198,0.187,-50.08,12.05
87.42304,30.160732,5796.42,186.14,4.135,0.489,-0.375,0.247,-5.36,18.09
87.234726,30.105368,5093.98,127.03,2.709,0.577,-0.239,0.196,-51.17,11.41
87.59455,30.141249,8028.6,372.16,4.162,0.371,-0.093,0.367,-18.68,18.98
81.87953,29.401081,5894.56,115.34,4.533,0.462,-0.252,0.143,-2.35,20.65
83.382614,27.73374,6492.54,204.87,4.147,0.415,-0.024,0.228,32.04,23.59
81.37158,27.202438,6086.0,379.52,4.774,0.483,-0.238,0.426,16.63,26.31
81.43329,27.400414,5947.49,371.06,4.546,0.53,-0.038,0.37,4.92,22.4
82.418106,27.269072,5336.52,32.2,4.759,0.154,0.111,0.146,10.87,8.18
82.41716,27.393744,5453.9,522.55,4.283,0.623,-0.273,0.597,1.13,21.01
82.74362,27.282175,6139.94,485.47,4.658,0.469,-0.014,0.459,21.8,17.09
82.855125,27.30499,5812.59,442.55,4.481,0.562,-0.05,0.421,24.05,15.61
81.79068,27.318844,6166.98,433.8,4.809,0.39,0.107,0.389,14.57,15.23
81.992325,27.33482,5173.49,280.13,3.384,0.655,-0.195,0.337,-0.46,17.4
81.82837,26.61301,6087.23,406.57,4.692,0.524,0.022,0.367,17.3,15.17
81.79245,26.96765,5840.97,544.54,4.294,0.813,0.076,0.63,4.59,16.55
82.46995,27.762318,5677.14,564.19,4.217,0.632,0.034,0.538,7.45,18.14
86.87393,26.842129,5487.15,454.04,3.964,0.73,-0.188,0.499,-7.1,24.33
86.99279,26.914227,5624.64,393.74,4.16,0.673,-0.135,0.408,-3.23,21.24
87.1089,27.09959,5650.53,481.06,4.214,0.711,-0.131,0.501,-11.9,25.2
86.79476,27.18687,5304.78,410.05,4.04,0.684,-0.179,0.479,-7.26,24.21
87.05199,26.89067,5409.11,598.84,3.918,0.895,-0.164,0.698,-25.54,27.97
86.84717,27.058578,5997.07,583.01,4.717,0.558,-0.032,0.596,-21.19,28.47
86.91857,26.974308,5572.49,402.94,4.239,0.645,-0.089,0.42,-4.46,21.76
87.09278,27.0514,5585.29,333.13,4.084,0.641,-0.071,0.339,-0.34,20.06
86.84063,26.978874,6192.04,732.03,4.991,0.924,0.302,0.759,-14.22,28.13
86.77833,26.993933,5410.29,377.32,3.921,0.7,-0.13,0.422,-2.1,21.69
86.90828,27.111334,5313.73,315.11,3.783,0.697,-0.121,0.36,-13.54,20.74
86.92288,27.036976,6112.51,570.97,4.779,0.545,0.071,0.559,-13.21,27.24
86.890366,27.171587,5420.41,463.18,3.805,0.753,-0.154,0.529,-0.93,22.54
86.81086,27.090416,6192.12,442.15,4.767,0.473,-0.036,0.447,1.4,25.83
86.61863,27.033056,5952.05,581.34,4.609,0.634,-0.014,0.579,-7.61,28.03
86.66181,27.187838,6086.36,489.47,4.811,0.495,0.032,0.502,-17.34,26.64
86.742096,27.19307,5648.74,500.76,4.184,0.687,-0.086,0.518,-7.09,25.16
86.67957,26.898045,5391.96,526.32,3.9,0.795,-0.278,0.6,-3.92,26.23
86.625984,26.93245,5932.76,382.57,4.481,0.526,0.01,0.362,4.49,21.9
86.74093,27.065254,5474.79,486.73,3.982,0.721,-0.16,0.528,1.84,23.24
86.68937,27.08485,5301.79,302.47,3.659,0.719,-0.203,0.358,-6.36,20.07
86.59265,27.085215,5341.92,556.68,4.027,0.903,-0.36,0.674,-4.64,27.53
86.53422,27.116936,5805.59,395.48,4.385,0.624,-0.08,0.398,4.45,23.42
86.5265,27.168814,5401.5,427.2,3.851,0.733,-0.297,0.491,6.52,22.48
86.747444,27.082195,5340.8,269.22,3.741,0.688,-0.25,0.32,4.36,18.33
86.687096,27.012856,5156.92,213.23,4.318,0.52,-0.456,0.293,54.49,16.77
86.171326,27.6089,5465.78,467.84,3.922,0.71,-0.153,0.506,-1.56,22.49
86.425224,27.623974,6028.94,315.27,4.424,0.539,-0.039,0.309,-8.28,24.0
86.36488,27.83614,5398.86,362.31,3.904,0.669,0.007,0.394,-24.51,24.47
86.471214,27.653767,5477.58,326.31,3.811,0.713,-0.181,0.361,12.61,19.26
86.3917,27.392902,6442.65,557.76,4.935,0.413,0.115,0.506,-8.87,23.47
86.0383,27.236765,5495.72,742.36,3.989,0.923,-0.318,0.839,25.48,29.07
86.09736,27.205185,5366.16,470.76,3.75,0.788,-0.282,0.557,-2.88,22.2
86.23295,27.216902,5429.6,61.06,3.971,0.301,-0.186,0.074,1.03,12.49
86.340675,27.474207,5582.53,471.94,4.076,0.66,-0.139,0.493,0.52,18.29
86.29217,27.308231,5395.37,324.93,3.802,0.674,-0.221,0.382,3.26,16.21
86.47088,27.301373,5574.78,276.91,4.022,0.611,-0.04,0.282,12.16,15.14
86.28013,27.47988,6362.44,416.18,4.74,0.336,0.004,0.385,2.04,17.66
86.36915,27.349224,5580.11,369.1,4.078,0.651,-0.138,0.386,5.68,16.73
86.20316,27.302485,5890.75,667.07,4.542,0.823,-0.131,0.724,0.54,28.45
85.98309,27.356237,5194.89,337.42,4.083,0.567,-0.291,0.409,6.36,16.93
86.179886,27.41228,5506.33,59.89,4.145,0.297,-0.184,0.072,0.89,12.59
86.128845,27.42559,5599.51,578.01,4.039,0.668,-0.142,0.593,20.06,19.58
86.16941,27.825846,5470.45,313.06,3.878,0.705,-0.174,0.355,-1.84,19.2
86.20826,28.049295,5729.88,604.87,4.185,0.669,-0.074,0.568,8.57,21.32
86.06344,27.821024,6402.91,306.51,4.691,0.383,-0.068,0.297,9.25,21.51
86.11213,27.774963,5348.97,97.14,3.997,0.31,-0.226,0.111,1.23,12.17
86.148834,27.860476,5512.96,350.22,3.782,0.656,-0.131,0.382,13.55,14.15
86.10548,27.844685,5198.99,48.01,4.004,0.201,0.007,0.104,4.2,9.46
86.42332,27.989155,5702.16,63.99,3.722,0.336,-0.568,0.081,0.02,17.13
86.138306,27.980204,5478.65,61.74,3.853,0.295,-0.23,0.075,0.7,12.6
86.299484,28.067932,5429.73,85.42,4.1,0.316,-0.21,0.097,1.16,12.2
86.45505,27.927872,5412.45,251.42,3.732,0.651,-0.138,0.285,11.95,15.72
86.96451,27.917543,5499.9,414.46,3.872,0.686,-0.13,0.436,12.56,17.09
86.76117,27.960861,5466.95,307.24,3.81,0.689,-0.188,0.347,8.76,17.31
86.87109,27.825708,6446.52,459.23,4.856,0.387,0.064,0.423,9.41,22.65
87.16078,27.930834,5283.32,263.02,3.699,0.639,-0.193,0.307,4.01,16.61
86.44389,27.483574,5568.46,369.38,4.216,0.634,-0.11,0.402,-24.88,24.83
86.78423,27.635466,5955.77,467.7,4.549,0.533,0.088,0.426,16.63,21.01
86.42695,27.545374,5438.41,236.81,3.846,0.636,-0.124,0.267,8.25,15.78
86.70413,27.521585,5402.88,259.17,3.785,0.647,-0.109,0.291,10.68,16.03
86.87518,27.548351,5714.87,517.15,4.309,0.634,-0.011,0.507,-0.33,18.7
86.85033,27.468994,5333.16,291.38,3.668,0.688,-0.095,0.332,0.58,18.68
86.92938,27.39213,5569.01,300.29,4.005,0.64,-0.101,0.319,5.54,17.25
86.52793,27.346638,5594.56,398.96,4.03,0.666,-0.045,0.403,-3.86,19.08
86.97976,27.29057,5334.31,237.92,3.724,0.629,-0.156,0.275,5.56,17.59
86.49624,27.298195,5475.56,392.37,3.802,0.768,-0.29,0.442,6.76,22.28
86.8792,27.33427,5461.45,317.14,3.919,0.652,-0.026,0.338,-13.54,22.22
86.73799,27.310038,5997.32,457.56,4.529,0.524,0.101,0.411,7.81,19.64
86.88632,27.469969,5574.06,467.75,3.992,0.706,-0.138,0.484,7.24,25.28
86.65091,27.332224,5989.29,430.86,4.536,0.557,0.002,0.408,7.9,22.16
86.75194,27.379122,5590.27,301.61,4.037,0.639,-0.029,0.31,8.53,18.17
86.60037,27.243284,5511.26,342.53,3.905,0.687,-0.085,0.367,14.64,21.58
86.7562,27.720171,5590.53,389.8,4.164,0.456,0.003,0.4,3.8,21.19
86.67939,27.858019,6284.66,578.17,4.7,0.469,0.11,0.536,11.48,24.62
86.62841,27.733624,5386.61,70.51,3.741,0.302,-0.199,0.087,0.92,12.45
86.66896,27.967392,5501.0,748.42,3.889,0.957,0.048,0.892,-12.23,28.59
86.55382,27.792236,5532.63,314.27,3.946,0.667,-0.109,0.336,-5.91,20.09
86.59801,27.817604,7085.41,527.78,4.449,0.405,-0.001,0.456,-16.92,33.46
86.59987,28.027632,5503.15,379.54,3.834,0.732,-0.072,0.409,-2.98,21.86
86.68353,28.049114,6320.14,69.03,4.724,0.229,0.214,0.072,9.48,15.49
86.1921,27.051863,5412.38,257.94,3.754,0.69,-0.14,0.294,-10.57,19.58
86.33912,26.886326,6127.12,568.99,4.726,0.466,0.139,0.531,-41.44,21.91
86.43451,26.889423,5350.39,267.66,3.737,0.635,-0.094,0.299,-16.13,18.61
88.125114,27.684404,5696.26,429.16,4.542,0.445,0.011,0.409,2.93,19.99
88.1344,27.815739,5405.25,240.23,4.357,0.588,-0.245,0.291,-17.67,22.24
87.68175,27.066744,5356.29,156.19,3.683,0.644,-0.195,0.191,-1.43,17.79
87.837456,27.019337,5794.99,314.95,4.448,0.512,0.002,0.301,-2.89,18.88
87.885704,26.945845,5897.1,256.56,4.339,0.587,-0.057,0.253,-19.43,21.61
87.80863,27.16567,5847.21,342.96,4.553,0.551,0.069,0.335,6.22,20.27
87.925255,26.914705,5816.96,299.57,4.398,0.55,0.037,0.286,4.84,15.83
88.20678,27.259605,5553.27,257.03,4.163,0.588,-0.05,0.268,-3.93,15.58
87.89019,27.400747,5718.57,238.97,4.398,0.515,-0.074,0.24,22.97,11.98
88.02753,27.192493,6071.18,298.23,4.604,0.477,0.045,0.279,-0.47,17.14
87.90876,27.31066,5432.0,100.15,4.11,0.321,-0.157,0.112,0.96,12.05
87.85762,27.250679,5246.25,235.22,4.391,0.474,-0.117,0.268,-10.15,12.98
87.45664,26.895082,5579.01,366.6,4.327,0.573,-0.04,0.381,1.63,16.74
87.22307,27.04322,5719.64,389.54,4.395,0.605,-0.036,0.388,-12.3,18.19
87.594505,27.14251,5556.49,390.28,4.22,0.631,-0.156,0.42,-7.0,15.65
87.43748,27.062927,6029.44,415.76,4.543,0.43,0.083,0.367,-7.5,17.35
87.466576,27.415031,5532.09,328.18,4.116,0.64,-0.128,0.355,-3.65,18.59
87.20532,27.378605,5331.82,219.4,3.517,0.56,-0.053,0.272,0.68,21.22
87.22013,27.592651,5714.41,463.24,4.276,0.681,-0.128,0.483,7.98,24.72
87.13133,27.515911,5244.87,303.76,3.619,0.725,-0.337,0.379,-3.97,24.82
87.07577,27.237787,5350.52,218.92,3.643,0.657,-0.185,0.256,2.63,19.04
87.260254,27.37471,5512.91,280.94,4.327,0.554,-0.026,0.3,13.06,15.31
87.47454,27.164894,5386.29,235.46,4.278,0.555,-0.153,0.275,-13.12,18.39
87.187065,27.248732,7063.48,275.26,4.045,0.392,0.133,0.256,-12.71,25.24
88.12303,27.932318,5728.27,131.75,4.158,0.365,-0.327,0.143,0.33,14.73
87.73063,28.111073,5712.29,87.1,3.906,0.195,-0.458,0.128,0.0,13.65
87.88831,28.047483,6034.5,559.59,4.674,0.537,0.019,0.54,-38.67,22.64
87.77521,27.87961,6629.64,289.01,4.483,0.386,-0.084,0.287,-33.73,32.76
88.22465,27.454681,6108.52,323.82,4.725,0.423,0.22,0.272,-9.06,21.24
88.24894,27.359495,5601.85,370.77,4.18,0.627,-0.03,0.375,-8.72,17.95
88.30198,27.305279,5250.39,197.09,3.451,0.619,-0.143,0.231,-0.68,16.16
88.36554,27.538078,6419.26,302.69,4.844,0.38,0.238,0.269,-0.88,20.3
88.22282,27.56171,6309.1,430.35,4.942,0.406,0.504,0.405,-27.85,23.82
89.76276,27.434307,5505.48,186.09,4.03,0.6,-0.015,0.204,26.97,18.36
89.539925,27.390738,5721.68,387.84,4.008,0.75,0.294,0.349,13.85,31.88
89.49264,27.445244,5489.03,380.66,4.064,0.644,-0.135,0.413,17.28,22.98
89.72583,27.035007,5722.39,318.09,4.148,0.586,0.349,0.282,25.28,19.45
89.62269,27.124449,5329.53,188.56,3.708,0.707,-0.303,0.237,20.57,22.4
89.98025,26.308748,5606.09,358.52,4.138,0.615,0.272,0.338,32.59,18.02
89.858505,26.409626,5514.12,261.93,4.013,0.654,-0.033,0.282,16.41,19.1
89.74803,27.000723,5622.18,298.67,4.449,0.568,0.012,0.316,-9.77,19.61
89.677086,26.79903,5746.72,513.69,4.17,0.665,-0.012,0.502,40.56,18.79
89.80328,26.85924,5453.22,294.1,3.882,0.632,-0.13,0.327,23.15,16.13
89.67747,26.640514,5479.66,266.65,3.706,0.702,-0.078,0.293,-14.57,20.02
89.79721,26.603172,5421.71,548.54,3.73,0.858,-0.429,0.65,10.83,26.64
89.459694,26.374166,6209.84,370.36,4.759,0.412,0.086,0.364,14.94,24.54
89.62424,26.545921,5746.84,503.57,4.277,0.703,0.035,0.549,53.12,23.82
89.4219,26.80317,6426.29,304.65,4.958,0.301,0.006,0.296,10.0,18.39
85.3636,28.554808,5501.6,213.88,4.75,0.332,0.292,0.207,7.04,12.77
85.38626,28.48889,5858.19,477.48,4.785,0.627,0.054,0.501,-5.57,16.51
85.423744,28.351416,5733.11,427.98,4.605,0.52,0.089,0.423,-12.0,17.55
85.46534,28.419582,5919.08,376.19,4.583,0.467,-0.115,0.366,6.58,15.56
85.33709,28.441223,5195.47,43.71,4.827,0.119,-0.102,0.099,4.34,12.74
84.970764,27.654589,5217.38,287.18,3.631,0.681,-0.477,0.362,22.38,16.63
85.26777,27.748026,5977.4,401.0,4.659,0.449,-0.018,0.398,-11.24,21.83
85.99349,27.53285,5231.22,42.0,4.72,0.162,0.386,0.175,2.88,13.81
85.83091,27.56051,5654.15,157.4,3.935,0.356,-0.405,0.267,-22.11,21.76
85.77115,27.79251,5680.18,365.65,4.278,0.583,-0.075,0.37,23.11,19.76
85.635635,27.7095,5565.03,387.64,4.385,0.606,-0.24,0.444,-5.73,24.08
86.00732,27.88551,5623.47,348.51,4.267,0.612,-0.122,0.379,4.48,23.4
86.30618,28.407093,5908.78,722.98,4.395,0.834,0.062,0.79,13.1,28.31
86.29457,28.317537,5667.56,498.66,4.423,0.625,-0.166,0.529,-7.54,21.47
86.08613,28.399885,5767.46,327.02,4.273,0.581,-0.007,0.35,-18.61,23.35
85.99836,28.374313,5487.68,373.65,4.022,0.655,-0.098,0.41,-5.28,22.88
85.99628,28.48849,5614.38,404.88,4.189,0.637,-0.184,0.444,-7.02,23.07
85.256805,28.359732,5541.08,419.53,4.173,0.633,-0.258,0.481,-15.12,24.25
85.38112,28.262514,5547.34,489.89,4.116,0.65,-0.171,0.534,-1.49,22.6
85.32833,28.130415,5475.99,389.29,4.327,0.59,-0.091,0.431,4.54,21.42
85.435585,28.307194,5676.14,311.28,4.013,0.677,0.136,0.301,-7.9,20.79
85.11658,28.164358,5864.45,617.87,4.338,0.709,-0.124,0.637,8.64,30.76
85.52788,28.509775,5756.94,376.13,4.241,0.662,-0.112,0.374,2.82,19.68
85.7704,28.291035,5485.68,615.46,4.06,0.842,-0.362,0.735,26.51,27.89
85.8019,28.498545,6048.68,400.08,4.705,0.443,-0.074,0.404,13.31,17.06
85.77186,28.41507,5765.26,700.61,4.522,0.856,-0.238,0.79,2.52,28.16
85.65752,28.45604,5659.15,208.39,4.601,0.411,0.41,0.205,24.78,19.88
85.63576,27.908138,5487.19,272.66,3.867,0.666,-0.111,0.304,13.41,19.6
85.88447,28.106049,5981.75,773.59,4.745,0.837,-0.075,0.84,7.6,28.86
85.781525,27.92186,5737.0,455.02,4.278,0.653,-0.211,0.492,-10.13,27.07
86.026085,27.910002,5264.08,292.45,3.533,0.74,-0.233,0.35,39.92,20.52
86.128586,28.104006,5774.48,409.71,4.382,0.621,-0.123,0.453,25.13,28.86
85.46206,27.692421,5889.43,445.66,4.418,0.561,-0.234,0.457,27.04,16.67
85.60887,27.652624,6293.0,637.13,4.733,0.612,0.229,0.567,71.46,31.53
85.39347,27.891247,5548.54,368.17,3.964,0.7,-0.184,0.408,22.7,21.94
85.65371,27.519644,6288.88,339.31,4.597,0.393,0.1,0.332,108.09,17.11
85.433655,27.525274,5686.64,462.18,3.986,0.709,-0.123,0.463,43.31,23.27
85.33987,27.815048,5814.89,376.59,4.516,0.578,-0.04,0.407,20.15,25.87
85.592964,28.022053,5889.98,358.2,4.445,0.568,-0.105,0.367,13.3,22.12
85.69903,28.04114,5964.75,541.14,4.462,0.645,-0.058,0.528,23.09,28.46
85.6516,28.207449,5646.26,505.28,4.158,0.735,-0.27,0.544,6.86,26.05
85.59052,28.246847,5725.0,407.18,4.2,0.695,-0.216,0.429,29.29,19.93
87.43123,28.726723,5420.5,376.12,3.774,0.683,-0.231,0.419,15.39,16.16
87.15405,28.515886,5185.27,347.94,3.765,0.661,-0.301,0.426,9.78,21.71
87.18314,28.55018,5443.86,60.7,3.853,0.222,0.195,0.127,1.13,10.79
87.29441,28.574842,5669.72,308.68,4.311,0.594,-0.118,0.327,-0.52,18.39
87.59172,28.51477,5375.26,292.73,3.9,0.635,-0.019,0.321,-2.98,17.25
87.17414,28.463507,5500.26,313.72,3.922,0.66,-0.098,0.332,4.48,18.72
87.927055,28.912607,5879.32,396.88,4.522,0.535,-0.032,0.383,-3.78,21.39
87.96946,28.760658,5827.0,391.63,4.419,0.576,-0.021,0.382,4.98,19.36
87.68934,28.851076,5679.31,393.85,4.267,0.628,-0.065,0.4,-6.95,22.64
86.68835,28.185034,5472.95,293.53,3.948,0.648,-0.064,0.318,13.72,18.71
87.00718,28.556662,5407.43,420.94,3.902,0.722,-0.253,0.47,6.93,20.66
86.68614,28.501484,5557.57,286.51,4.066,0.638,-0.113,0.305,13.01,16.53
86.791595,28.465506,5795.48,421.57,4.343,0.572,-0.089,0.413,6.83,20.23
86.71946,28.553198,6314.29,490.18,4.743,0.424,-0.118,0.474,-4.19,24.76
86.90205,28.535637,5827.11,424.23,4.436,0.573,-0.004,0.4,2.79,19.35
87.06856,28.446617,5948.11,547.18,4.331,0.575,0.031,0.461,7.26,21.23
86.84021,28.603415,5487.04,538.27,3.897,0.744,-0.28,0.601,4.65,21.56
87.703575,28.20297,5467.96,232.49,3.907,0.613,-0.086,0.254,14.61,14.43
87.67275,28.673666,5742.44,469.25,4.35,0.6,-0.081,0.464,2.3,17.08
87.99909,28.683243,5745.55,338.49,4.376,0.553,-0.052,0.338,2.7,15.84
88.02363,28.725353,5709.81,315.76,4.412,0.569,-0.186,0.334,8.88,16.77
87.68387,28.594025,5802.82,408.93,4.432,0.56,0.016,0.378,10.31,15.8
87.87479,28.460806,6056.91,295.58,4.564,0.479,-0.08,0.293,8.33,18.3
87.93141,28.565403,5885.02,377.71,4.491,0.548,0.009,0.366,6.01,19.26
86.85758,28.773277,5679.13,427.02,4.189,0.656,-0.17,0.443,14.93,19.19
86.93584,28.882011,5506.24,295.2,3.907,0.652,-0.095,0.315,15.67,15.63
86.77806,28.682543,5082.54,233.34,4.218,0.469,-0.259,0.298,8.82,13.6
87.009155,28.871368,5804.46,377.63,4.33,0.58,-0.098,0.374,10.23,17.55
87.02158,28.773403,5122.45,263.14,3.418,0.668,-0.341,0.332,2.27,16.05
86.97148,28.928087,5737.2,506.3,4.363,0.598,-0.056,0.49,18.25,18.89
86.84596,28.883678,5315.03,203.54,3.652,0.672,-0.5,0.254,12.38,15.69
86.85972,28.811295,5748.38,421.1,4.309,0.614,-0.116,0.427,-2.68,19.25
86.951485,28.829605,5754.6,410.18,4.257,0.606,-0.125,0.406,11.36,17.32
86.961365,28.968748,5253.76,312.34,3.585,0.657,-0.34,0.361,4.13,17.03
86.70992,28.700699,5235.05,258.36,3.555,0.645,-0.273,0.312,3.7,13.31
86.86106,28.994188,5545.16,405.87,4.105,0.677,-0.181,0.438,17.43,19.9
86.5941,28.686274,5693.99,474.46,4.274,0.624,-0.142,0.485,2.56,22.04
87.50662,28.10732,5644.76,425.73,4.226,0.668,-0.087,0.443,2.38,22.35
87.21396,28.245134,5986.44,528.53,4.711,0.457,0.133,0.497,-3.16,23.61
87.34498,28.330154,5396.3,359.88,4.087,0.639,-0.295,0.424,-0.1,19.57
87.54586,28.189783,4989.09,175.47,4.253,0.464,-0.421,0.25,-12.16,17.49
87.31632,28.682226,5922.87,341.56,4.443,0.584,-0.132,0.356,13.77,25.22
87.20356,28.734152,5839.7,332.81,4.479,0.57,-0.025,0.336,9.42,20.59
87.1595,28.901785,5833.75,340.72,4.434,0.536,-0.04,0.34,-0.68,20.0
87.37455,28.958038,5789.43,340.26,4.329,0.592,-0.025,0.334,11.96,18.51
86.8982,28.250328,5813.96,283.37,4.459,0.546,0.041,0.279,7.93,17.33
87.188644,28.379253,5745.25,264.04,4.399,0.544,0.002,0.266,12.14,15.23
85.48531,28.747004,5252.38,260.25,4.276,0.498,0.106,0.291,13.29,15.41
86.03383,29.425531,5758.18,278.29,4.381,0.53,-0.137,0.289,5.58,14.02
86.17973,29.427843,6204.71,502.89,4.619,0.397,0.324,0.398,-2.14,16.91
85.95088,29.446579,5397.75,120.44,4.24,0.322,-0.159,0.133,1.13,11.63
86.122215,29.441544,5307.33,268.17,3.871,0.647,-0.253,0.316,-19.48,18.27
86.31201,29.543165,5955.73,422.98,4.691,0.506,-0.017,0.411,3.71,19.93
85.99099,29.40845,5315.18,182.4,3.695,0.681,-0.398,0.232,6.38,19.97
86.12147,29.547226,6023.81,459.38,4.566,0.507,0.212,0.378,-18.83,20.73
86.21387,29.300709,5939.57,420.85,4.564,0.564,0.098,0.388,-2.7,23.77
86.64587,29.18442,5438.16,234.59,3.855,0.699,-0.127,0.27,-15.29,24.78
86.70889,29.230125,5766.6,308.54,4.372,0.577,0.041,0.303,10.18,20.37
86.326996,29.238695,5898.37,438.93,4.467,0.578,0.232,0.377,19.0,19.63
85.7205,28.897793,5972.23,292.75,4.487,0.557,-0.077,0.28,-3.96,19.93
85.8091,28.896938,5506.45,323.42,4.133,0.625,-0.207,0.375,-9.97,20.51
86.92633,29.245188,5833.21,467.01,4.46,0.601,0.027,0.446,9.24,23.5
87.05129,29.186068,5814.99,586.92,4.354,0.67,-0.017,0.551,-8.86,22.68
87.17845,29.156252,5589.62,384.99,4.367,0.635,-0.203,0.438,-45.1,26.95
86.78979,29.41827,5610.04,290.56,4.134,0.64,-0.105,0.311,15.98,18.89
86.76713,29.497347,5378.63,232.55,3.71,0.666,-0.17,0.268,6.01,16.94
86.87643,29.431189,5625.15,497.58,4.147,0.633,-0.062,0.504,-3.61,17.62
86.954895,29.31732,5493.75,263.02,3.95,0.653,-0.06,0.288,-8.8,21.09
86.80255,29.5149,5897.99,477.55,4.634,0.548,0.031,0.511,-33.72,25.19
86.610466,29.466904,6019.53,369.5,4.714,0.489,-0.016,0.376,4.24,22.27
86.37586,28.935331,5390.91,333.69,3.756,0.611,-0.317,0.405,-7.16,19.59
86.382706,29.077381,5808.61,315.22,4.62,0.591,-0.171,0.42,-73.3,36.47
86.689384,29.07696,5851.83,564.68,4.35,0.644,0.076,0.525,-38.56,28.94
85.89409,29.22316,5423.3,512.29,3.754,0.841,-0.32,0.602,-52.17,26.21
86.21105,28.976759,6108.41,274.76,4.596,0.493,-0.03,0.289,-17.66,28.16
86.082245,28.83549,5498.84,324.23,3.825,0.729,-0.261,0.385,-48.55,27.75
85.96554,28.954407,6357.12,392.56,4.607,0.486,0.023,0.379,-44.76,32.06
85.92589,29.159874,5725.99,78.86,3.706,0.229,-0.593,0.104,0.0,16.46
85.70801,29.07742,5154.16,350.5,3.736,0.662,-0.208,0.422,-25.98,22.79
85.65737,29.207344,5613.96,651.92,3.958,0.793,-0.217,0.693,-18.93,20.76
86.60771,29.73517,5716.93,606.65,3.846,0.732,0.025,0.584,19.62,19.19
87.68755,25.26806,6308.33,301.59,4.475,0.387,-0.07,0.268,-0.52,19.79
87.83319,25.07205,6711.32,368.99,4.316,0.428,0.051,0.33,60.33,25.73
87.85347,25.185255,6487.58,309.0,3.972,0.435,-0.194,0.356,53.47,40.12
87.20607,25.276005,8142.12,376.76,3.914,0.64,-0.051,0.563,-18.9,52.34
87.05016,25.48756,4178.35,65.4,4.642,0.228,-0.375,0.16,22.23,10.99
87.32144,25.318699,4657.58,243.33,1.559,0.763,-1.171,0.384,-17.7,24.55
87.12788,25.722616,5157.2,155.87,3.061,0.626,-0.376,0.202,6.76,15.17
87.24998,25.96618,5959.31,240.21,4.291,0.546,-0.061,0.216,5.5,18.04
87.39902,25.940428,4022.6,37.57,4.825,0.176,-0.469,0.133,-17.91,10.54
87.5495,25.427097,5712.15,205.79,4.538,0.489,-0.002,0.209,13.58,14.48
88.14691,25.546,6795.34,225.33,4.182,0.334,-0.616,0.292,-6.61,36.34
88.23399,25.606474,6576.95,235.61,4.002,0.456,0.079,0.211,-12.84,26.23
88.332664,25.473131,4761.84,118.15,3.407,0.413,-0.333,0.162,-26.87,13.3
